Yokadouma,68,CM,1551291341,83,3.52,15.05,75.43,2.17
Victoria,75,BN,1551290400,94,5.28,115.24,77.0,8.66
Barranco,32,BR,1551291344,99,-20.59,-41.2,73.36,2.51
Mantua,0,IT,1551290976,44,45.16,10.79,66.2,3.36
Sinjar,44,SY,1551291347,76,35.59,37.0,51.31,18.16
George,24,NG,1551291348,81,6.63,3.35,83.12,8.77
West Bay,5,GB,1551291337,71,50.71,-2.76,55.0,3.36
Manokwari,88,ID,1551291351,100,-0.87,134.08,80.11,6.2
Balinsasayao,64,PH,1551291353,100,10.68,124.96,70.39,4.07
Jardim,88,BR,1551291220,93,-21.48,-56.15,76.82,6.87
Bikaner,0,IN,1551291355,57,28.02,73.32,53.74,5.41
Nybro,0,SE,1551291304,66,56.75,15.91,51.8,11.41
Ahipara,56,NZ,1551291174,100,-35.17,173.16,55.0,10.22
Muros,20,ES,1551291343,71,42.77,-9.06,59.0,9.17
Barmer,0,IN,1551291361,36,25.74,71.4,56.35,8.55
Langarud,90,IR,1551290400,100,37.2,50.15,50.0,6.93
Xining,48,CN,1551291251,72,36.62,101.77,8.74,2.62
Yabrud,40,SY,1551290447,76,33.97,36.66,48.2,26.4
El Retorno,12,CO,1551291366,27,2.33,-72.63,97.88,6.76
Nome,90,US,1551291316,82,30.04,-94.42,68.0,14.99
Dryden,1,CA,1551286800,60,49.79,-92.84,5.0,16.11
Shumikha,80,RU,1551291370,88,55.23,63.28,15.49,6.98
Honningsvag,75,NO,1551289800,63,70.98,25.97,26.6,21.92
